Files already downloaded and verified
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 19.6s | Train: skip eval | Valid: time= 14.2s loss=2.548, TAw acc= 23.1% | *
| Epoch   2, time= 17.2s | Train: skip eval | Valid: time= 14.3s loss=2.506, TAw acc= 22.5% | *
| Epoch   3, time= 16.9s | Train: skip eval | Valid: time= 13.6s loss=2.395, TAw acc= 29.1% | *
| Epoch   4, time= 16.5s | Train: skip eval | Valid: time= 13.9s loss=2.371, TAw acc= 30.9% | *
| Epoch   5, time= 16.7s | Train: skip eval | Valid: time= 13.3s loss=2.220, TAw acc= 34.2% | *
| Epoch   6, time= 16.3s | Train: skip eval | Valid: time= 13.3s loss=2.174, TAw acc= 31.8% | *
| Epoch   7, time= 16.5s | Train: skip eval | Valid: time= 13.4s loss=2.069, TAw acc= 36.8% | *
| Epoch   8, time= 16.7s | Train: skip eval | Valid: time= 13.5s loss=1.954, TAw acc= 41.2% | *
| Epoch   9, time= 16.6s | Train: skip eval | Valid: time= 13.6s loss=1.885, TAw acc= 42.6% | *
| Epoch  10, time= 16.1s | Train: skip eval | Valid: time= 13.2s loss=1.894, TAw acc= 41.4% |
| Epoch  11, time= 16.4s | Train: skip eval | Valid: time= 13.4s loss=1.958, TAw acc= 41.9% |
| Epoch  12, time= 16.8s | Train: skip eval | Valid: time= 13.6s loss=2.032, TAw acc= 40.2% |
| Epoch  13, time= 16.3s | Train: skip eval | Valid: time= 13.7s loss=1.913, TAw acc= 46.0% |
| Epoch  14, time= 16.3s | Train: skip eval | Valid: time= 13.3s loss=2.175, TAw acc= 39.9% | lr=3.3e-02
| Epoch  15, time= 16.3s | Train: skip eval | Valid: time= 13.7s loss=1.771, TAw acc= 45.6% | *
| Epoch  16, time= 16.5s | Train: skip eval | Valid: time= 13.2s loss=1.660, TAw acc= 47.8% | *
| Epoch  17, time= 16.3s | Train: skip eval | Valid: time= 13.3s loss=1.783, TAw acc= 43.6% |
| Epoch  18, time= 17.2s | Train: skip eval | Valid: time= 13.4s loss=1.651, TAw acc= 47.9% | *
| Epoch  19, time= 17.0s | Train: skip eval | Valid: time= 13.4s loss=1.683, TAw acc= 49.3% |
| Epoch  20, time= 16.6s | Train: skip eval | Valid: time= 13.9s loss=1.653, TAw acc= 50.8% |
| Epoch  21, time= 16.4s | Train: skip eval | Valid: time= 14.2s loss=1.698, TAw acc= 47.6% |
